code,year,name,pop,sex,age
KR,2021,"Korea, South",175127,Male,1
KR,2021,"Korea, South",167656,Male,2
KR,2021,"Korea, South",173349,Male,3
KR,2021,"Korea, South",191862,Male,4
KR,2021,"Korea, South",211204,Male,5
KR,2021,"Korea, South",219277,Male,6
KR,2021,"Korea, South",219893,Male,7
KR,2021,"Korea, South",232545,Male,8
KR,2021,"Korea, South",241228,Male,9
KR,2021,"Korea, South",237883,Male,10
KR,2021,"Korea, South",231154,Male,11
KR,2021,"Korea, South",229678,Male,12
KR,2021,"Korea, South",241590,Male,13
KR,2021,"Korea, South",237208,Male,14
KR,2021,"Korea, South",222855,Male,15
KR,2021,"Korea, South",230717,Male,16
KR,2021,"Korea, South",246626,Male,17
KR,2021,"Korea, South",252535,Male,18
KR,2021,"Korea, South",269251,Male,19
KR,2021,"Korea, South",307434,Male,20
KR,2021,"Korea, South",325913,Male,21
KR,2021,"Korea, South",330800,Male,22
KR,2021,"Korea, South",348820,Male,23
KR,2021,"Korea, South",365062,Male,24
KR,2021,"Korea, South",381617,Male,25
KR,2021,"Korea, South",394975,Male,26
KR,2021,"Korea, South",399466,Male,27
KR,2021,"Korea, South",403740,Male,28
KR,2021,"Korea, South",403805,Male,29
KR,2021,"Korea, South",388099,Male,30
KR,2021,"Korea, South",352009,Male,31
KR,2021,"Korea, South",363056,Male,32
KR,2021,"Korea, South",358257,Male,33
KR,2021,"Korea, South",349259,Male,34
KR,2021,"Korea, South",365810,Male,35
KR,2021,"Korea, South",359432,Male,36
KR,2021,"Korea, South",387356,Male,37
KR,2021,"Korea, South",420011,Male,38
KR,2021,"Korea, South",450551,Male,39
KR,2021,"Korea, South",471858,Male,40
KR,2021,"Korea, South",459445,Male,41
KR,2021,"Korea, South",436170,Male,42
KR,2021,"Korea, South",393345,Male,43
KR,2021,"Korea, South",394423,Male,44
KR,2021,"Korea, South",386987,Male,45
KR,2021,"Korea, South",400968,Male,46
KR,2021,"Korea, South",424276,Male,47
KR,2021,"Korea, South",423844,Male,48
KR,2021,"Korea, South",429141,Male,49
KR,2021,"Korea, South",416955,Male,50
KR,2021,"Korea, South",431391,Male,51
KR,2021,"Korea, South",447506,Male,52
KR,2021,"Korea, South",436660,Male,53
